babelSynsetID;words
bn:00111286a;strategic
bn:00111325a;structured
bn:00111685a;technological
bn:00111686a;technical
bn:00111688a;technological
bn:00111806a;theoretical
bn:00114251r;constantly
bn:00114778r;usually
bn:00115252r;eventually, finally
bn:00115285r;explicitly
bn:00115834r;primarily
bn:00116395r;objectively
bn:00119381n;Cmp
bn:00128944n;enterprise information system
bn:00182115n;chapter
bn:00212740n;finite state machine
bn:00237517n;business ecosystem
bn:00251565n;alloy
bn:00254320n;software product line
bn:00285559n;business process model, enterprise process management
bn:00285715n;process automation
bn:00328261n;appreciative system
bn:00353055n;quality
bn:00427376n;smart city
bn:00445734n;specific complexity
bn:00522942n;steady state
bn:00612059n;specification language
bn:00632106n;profit
bn:00655130n;enterprise architecture
bn:00670896n;depth
bn:00671881n;user experience
bn:00751658n;government policy
bn:00890994n;software pattern
bn:00909458n;smartphones
bn:00912901n;process model, process modeling
bn:00940403n;enterprise service
bn:00943355n;seam
bn:00969301n;service design
bn:00971296n;po
bn:00983111n;traceability
bn:01042120n;formalism
bn:01096526n;business rule
bn:01097033n;modern society
bn:01115911n;supply chain
bn:01128895n;harel statecharts, statecharts
bn:01132275n;archimate
bn:01172008n;ai assistant
bn:01184015n;language model
bn:01190125n;scenario
bn:01283920n;goal modeling
bn:01305513n;process management, process manager
bn:01329353n;mathematical model
bn:01381379n;public value
bn:01384947n;declarative language
bn:01401585n;dbe
bn:01426742n;challenge
bn:01510781n;management system
bn:01530448n;mda
bn:01567557n;process development
bn:01598370n;business process management
bn:01648323n;descriptive knowledge
bn:01650764n;transaction
bn:01691263n;higraph, higraphs
bn:01718454n;peer production
bn:01932511n;criterion validity
bn:01944346n;system model
bn:02012311n;user story
bn:02057536n;operational semantics
bn:02138008n;system engineering
bn:02161285n;scm, supply chain management
bn:02180118n;component model
bn:02220931n;imdb
bn:02245863n;usability
bn:02259054n;topic modeling
bn:02291059n;rfp
bn:02356174n;use case
bn:02370529n;bpmn
bn:02387665n;collaboration
bn:02410789n;process design
bn:02422212n;open innovation
bn:02437884n;physical system
bn:02438245n;service model
bn:02438777n;volunteer
bn:02491398n;formal concept analysis
bn:02527555n;business requirement
bn:02747390n;research community
bn:02788029n;business process
bn:02813568n;20th century
bn:02836923n;crisis management
bn:02841200n;separation process
bn:02888045n;reference architecture
bn:03091997n;oka river
bn:03112228n;digital technology
bn:03127800n;management process
bn:03128426n;advance
bn:03134448n;space odyssey
bn:03136677n;research literature
bn:03137835n;mod
bn:03149059n;predictive analysis
bn:03155334n;system design
bn:03156296n;tablet
bn:03181403n;alloy analyzer
bn:03191980n;process specification language
bn:03195989n;importance
bn:03224833n;latent dirichlet allocation
bn:03232471n;ea framework
bn:03264794n;sysml
bn:03298514n;flexibility
bn:03309733n;optimisation
bn:03349373n;political structure
bn:03358315n;conceptual framework
bn:03385495n;low level
bn:03387425n;abstraction level
bn:03393005n;abstract process
bn:03399058n;advantage
bn:03424909n;level order
bn:03439996n;organizational structure
bn:03502105n;business model
bn:03506057n;process control
bn:03537096n;case management
bn:03558977n;process specification
bn:03569682n;engineering design
bn:03617553n;enterprise model
bn:03640362n;information technology governance
bn:03643901n;engine
bn:03718727n;social business
bn:03788121n;design science research
bn:03792862n;cos
bn:03814567n;stat
bn:03815028n;make work
bn:14456945n;manager
bn:14672884n;urban game
bn:14710229n;intention mining
bn:14965500n;approval
bn:15051182n;capture
bn:15125301n;system
bn:15260210n;doctoral school
bn:15340438n;process work
bn:15591207n;point
bn:17095877n;empirical validation
bn:17317913n;babelfy
bn:17323822n;constraint
