ID;Keywords/Themes (Irina);Keywords (chatGPT)
2013-BBRWa;formal methods, validation, model checking, requirements, business rules;business rules, business rule discovery, Alloy, requirements elicitation, formal specification, simulation, model checking
2013-SRZN;enterprise modeling, enterprise architecture decentraliation, flexibility, collaboration, peer trust management , peer production, alignment, requirements;enterprise architecture, decentralization, peer production, trust management, IT governance, organizational structure, EA frameworks
2013-RZS;enterprise modeling, enterprise architecture decentraliation, flexibility, collaboration, alignment;enterprise modeling, enterprise architecture, IT governance, decentralization, federated organization, peer production, steering forces
2013-BBRWb;formal methods, validation, model checking, requirements, business rules;enterprise modeling, service design, service simulation, Alloy, declarative specification, model checking, business rules
2013-KPR;BPM, ACM, agility, flexibility, context (socuo-technical), process modeling, declarative specification;business process agility, context awareness, declarative process modeling, adaptive case management, finite state machine, context meta-model, crisis management
2013-R;BPM, case management, agility, flexibility,  process modeling, declarative specification, formal semantics, simulation, validation , model checking;case management, business process modeling, finite state machine, Alloy, declarative modeling, process simulation, model checking
2012-R;BPM, declarative specifications, flexibility, context awareness, adaptability, process modeling, case management;business process modeling, BPMN, declarative modeling, case management, configurability, data objects, context-based rules
2011-RN;knowledge-intensive processes, adaptive, BPM, BPMN, declarative modeling, contex, configuration, process modeling;knowledge-intensive processes, case management, declarative modeling, configurability, refinement, BPMN extension, process lifecycle
2011-RDN;case management, knowledge intensive, process modeling, BPM, role modeling, declarative, intention, flexibility;intentional modeling, MAP process model, role variability, role configuration, case management, process flexibility, organizational modeling
2010-GRN;EA, alignment;business-IT alignment, build-up process, enterprise architecture, data collection, design science, practical applicability, fitness measurement
2010-BPM;declarative specification, process modeling, flexibility, adaptability, case management, BPM;adaptive case management, declarative modeling, configurable processes, process variability, BPMN extension, formal semantics, DeCo
2010-BATI;EA, alignment;business-IT alignment, fitness measurement, alignment metrics, enterprise architecture, empirical validation, practical applicability, model-based assessment
